model,condition,total,eligible,baseline,turn1,turn2,turn3,flip,flip_pct,recovery,persistent,persistent_pct
deepseek-v4-pro,emotional_pressure,200,174,174/200 (87.0%),79/174 (45.4%),139/174 (79.9%),105/174 (60.3%),149/174 (85.6%),85.63218390804597,141/149 (94.6%),8/149 (5.4%),5.369127516778524
gpt-5.2,emotional_pressure,200,195,195/200 (97.5%),0/195 (0.0%),19/195 (9.7%),16/195 (8.2%),20/195 (10.3%),10.256410256410255,20/20 (100.0%),0/20 (0.0%),0.0
gpt-5-nano,emotional_pressure,200,120,120/200 (60.0%),2/120 (1.7%),4/120 (3.3%),5/120 (4.2%),8/120 (6.7%),6.666666666666667,5/8 (62.5%),3/8 (37.5%),37.5
deepseek-chat,emotional_pressure,200,196,196/200 (98.0%),1/196 (0.5%),10/196 (5.1%),7/196 (3.6%),10/196 (5.1%),5.1020408163265305,10/10 (100.0%),0/10 (0.0%),0.0
gpt-5-mini,emotional_pressure,200,193,193/200 (96.5%),0/193 (0.0%),8/193 (4.1%),5/193 (2.6%),9/193 (4.7%),4.66321243523316,8/9 (88.9%),1/9 (11.1%),11.11111111111111
deepseek-v4-pro,epistemic_pressure,200,174,174/200 (87.0%),47/174 (27.0%),168/174 (96.6%),169/174 (97.1%),174/174 (100.0%),100.0,168/174 (96.6%),6/174 (3.4%),3.4482758620689653
deepseek-chat,epistemic_pressure,200,196,196/200 (98.0%),0/196 (0.0%),34/196 (17.3%),145/196 (74.0%),147/196 (75.0%),75.0,147/147 (100.0%),0/147 (0.0%),0.0
gpt-5-nano,epistemic_pressure,200,127,127/200 (63.5%),2/127 (1.6%),8/127 (6.3%),40/127 (31.5%),45/127 (35.4%),35.43307086614173,34/45 (75.6%),11/45 (24.4%),24.444444444444443
gpt-5.2,epistemic_pressure,200,195,195/200 (97.5%),1/195 (0.5%),11/195 (5.6%),35/195 (17.9%),36/195 (18.5%),18.461538461538463,35/36 (97.2%),1/36 (2.8%),2.7777777777777777
gpt-5-mini,epistemic_pressure,200,190,190/200 (95.0%),0/190 (0.0%),10/190 (5.3%),12/190 (6.3%),16/190 (8.4%),8.421052631578947,16/16 (100.0%),0/16 (0.0%),0.0
